Project ID,Project Name,Voluntary Registry,"ARB/WA
Project",Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,"Total Credits 
Issued","Total Credits 
Retired",Total Credits Remaining,"Total Buffer 
Pool Deposits",Reversals Covered by Buffer Pool,Reversals Not Covered by Buffer,First Year of Project (Vintage),"1,996","1,997","1,998","1,999","2,000","2,001","2,002","2,003","2,004","2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012","2,013","2,014","2,015","2,016","2,017","2,018","2,019","2,020","2,021","2,022","2,023",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,"2,009",2010,2011,2012,2013,2014,2015,"2,016",2017,2018,2019,2020,2021,2022,2023,"Year 
Unknown","1,996","1,997","1,998","1,999","2,000","2,001","2,002","2,003","2,004","2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012","2,013","2,014","2,015","2,016","2,017","2,018","2,019","2,020","2,021","2,022","2,023",Project Owner ,Offset Project Operator ,Authorized Project Designee,Verifier,Estimated Annual Emission Reductions, PERs ,Registry / ARB / WA,ARB Project Detail,ARB ID,PoA ID/Aggregate ID,CORSIA Eligible,Project Listed,Project Registered ,CCB / Certifications,Project Type From the Registry,"Registry 
Documents",Project Website,"1,996","1,997","1,998","1,999","2,000","2,001","2,002","2,003","2,004","2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012","2,013","2,014","2,015","2,016","2,017","2,018","2,019","2,020","2,021","2,022","2,023",Notes from Registry,Notes from Berkeley Carbon Trading Project,Added to Database Version - With Data Through,*
ACR106,Brickyard LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,ILLINOIS,Danville,Biogas Energy Solutions,"138,492","109,452","29,040",0,,,2006,0,0,0,0,0,0,0,0,0,0,"95,330","43,162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"54,000","41,330",0,0,"14,122",0,0,0,0,0,0,0,0,0,0,0,0,0,"29,040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ERT,,,ACR,#REF!,,,#REF!,,,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,"138,492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,v1 12-2020,
ACR110,Chicago LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,ILLINOIS,Chicago,Biogas Energy Solutions,"62,262","52,219","10,043",0,,,2006,0,0,0,0,0,0,0,0,0,0,"43,632","18,630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,219",0,0,0,0,0,0,0,0,0,0,0,"10,043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ERT,,,ACR,#REF!,,,#REF!,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,"62,262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,v1 12-2020,
ACR112,Dolton LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,ILLINOIS,Dolton,Biogas Energy Solutions,"159,336","110,853","48,483",0,,,2006,0,0,0,0,0,0,0,0,0,0,"104,769","54,567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,422","55,387",0,0,"22,044",0,0,0,0,0,0,0,0,0,0,0,"15,960","32,523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ERT,,,ACR,#REF!,,,#REF!,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,"159,336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,v1 12-2020,
ACR113,Greater New Bedford LFG,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,MASSACHUSETTS,Dartmouth,Commonwealth Resource Management Corporation,"713,162","206,271","506,891",0,,,2003,0,0,0,0,0,0,0,"117,945","113,158","112,306","119,996","127,178","122,579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,"1,158","2,155","4,377","33,386","4,581","15,971","133,203","7,325",400,500,655,"2,500",0,0,0,0,0,0,0,0,0,0,0,0,0,"99,442","35,158","28,000","119,996","126,935","97,360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"First Environment, Inc.",,,ACR,#REF!,,,#REF!,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,"29,269","495,293","124,400","64,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,v1 12-2020,
ACR119,North Country LFG,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,NEW HAMPSHIRE,Bethlehem,Commonwealth Resource Management Corporation,"1,592,397","362,722","1,229,675",0,,,1998,0,0,"48,826","74,895","114,507","114,478","110,796","121,401","131,433","147,174","172,771","156,075","122,404","108,593","128,923","40,121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,687","9,048","76,170","52,000","27,564","5,732","12,565","141,871","1,000",0,0,885,0,"1,320",0,"28,750",0,"2,130",0,0,0,"48,496","68,348","113,467","114,478","110,796","114,984","82,402","93,634","120,771","108,075","60,672","64,593","128,923",36,0,0,0,0,0,0,0,0,0,0,0,0,,,,"First Environment, Inc.",,,ACR,#REF!,,,#REF!,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,"667,510","196,000","256,166","133,882","113,649","115,244","109,946",0,0,0,0,0,0,0,0,0,0,0,0,,,v1 12-2020,
ACR122,Romeoville LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,ILLINOIS,Romeoville,Biogas Energy Solutions,"52,496","14,996","37,500",0,,,2006,0,0,0,0,0,0,0,0,0,0,"35,491","17,005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,614",0,"2,404","10,978",0,0,0,0,0,0,0,0,0,0,0,0,"20,495","17,005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ERT,,,ACR,#REF!,,,#REF!,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,"52,496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,v1 12-2020,
ACR126,Seneca Meadows LFG,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,Offset Project Methodology for Landfill Methane Collection and Combustion,North America,United States,NEW YORK,Waterloo,Seneca Meadows,"2,470,626","1,770,258","700,368",0,,,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"170,626","409,787","502,389","639,196","278,098","470,530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000","14,100","59,798","228,791","310,599","160,360","248,104","197,455","224,645","161,585","87,094","72,727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"170,626","382,119","113,542","7,310","25,901",870,0,0,0,0,0,0,0,0,,,,"First Environment, Inc.",,,ACR,#REF!,,,#REF!,,,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,739","135,887","409,787","464,652","346,334","419,029","189,668","470,530",0,0,0,0,0,0,,,v1 12-2020,
ACR127,Steuben County DPW LFG,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,NEW YORK,Bath,Environmental Capital LLC,"129,180","109,280","19,900",0,,,2005,0,0,0,0,0,0,0,0,0,"19,900","51,249","58,031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"109,280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"First Environment, Inc.",,,ACR,#REF!,,,#REF!,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,0,"129,180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,v1 12-2020,
ACR128,Streator LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,ILLINOIS,Streator,Biogas Energy Solutions,"47,150","40,591","6,559",0,,,2006,0,0,0,0,0,0,0,0,0,0,"32,696","14,454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,696",0,"7,895",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ERT,,,ACR,#REF!,,,#REF!,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,,0,0,0,0,0,0,0,0,0,0,0,"47,150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,v1 12-2020,
