GHGRP ID,Landfill ID,Landfill Name,State,City,County,Ownership Type,Landfill Owner Organization(s),Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,LFG Use Details,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),End User(s),Project Developer(s),Project Owner(s),Product Supplier(s),Self-Developed,Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1002863,462,Old Dixie Highway MSW Landfill,GA,Dalton,Whitfield,Public,"Dalton-Whitfield Regional Solid Waste Management Authority (DWRSWMA), GA","7,028,390",2022,Yes,0.559,0.392,527-0,Operational,Project #1,6/12/2008,Direct,Boiler,,"2-mile pipeline to (1) boiler, average LFG use = 9,100 MMBtu/month, use fluctuates as fuel needs vary due to batch processing at plant, facility manufactures latex for carpet backing applications",,,0.58,"Trinseo, LLC","Dalton-Whitfield Regional Solid Waste Management Authority (DWRSWMA), GA","Dalton-Whitfield Regional Solid Waste Management Authority (DWRSWMA), GA","Perennial Energy, Inc.",Yes,0.0569,0.0050
1002478,2266,Pine Ridge Landfill,GA,Griffin,Butts,Private,"Republic Services, Inc.","25,610,923",2022,Yes,4.874,2.906,180356-0,Operational,Project #1,7/22/2016,Electricity,Reciprocating Engine,,"(3) GE-Jenbacher J-616 units at 2.176 MW each, with thermal oxidizer for LFG pretreatment system",4.05,6.5,1.968,Georgia Power Company,"Mas Energy, LLC",I Squared Capital,GE Energy - Jenbacher Gas Engines; Nixon Energy Solutions,No,0.2049,0.0197
1004487,454,Richland Creek Road Landfill,GA,Buford,Gwinnett,Private,"Republic Services, Inc.","21,968,810",2022,Yes,5.795,2.401,519-0,Operational,Project #1,7/22/2016,Electricity,Reciprocating Engine,,"(5) GE-Jenbacher J-616 units at 2.176 MW each, with thermal oxidizer for LFG pretreatment system",6.09,10.88,3.4,Georgia Power Company,"Mas Energy, LLC",I Squared Capital,GE Energy - Jenbacher Gas Engines; Nixon Energy Solutions,No,0.3082,0.0296
1005638,448,Seminole Road MSW Landfill,GA,Ellenwood,DeKalb,Public,"DeKalb County Sanitation, GA","15,618,359",2022,Yes,2.264,1.295,513-0,Operational,Project #1,10/12/2006,Electricity,Reciprocating Engine,,(2) Caterpillar G3520 engines rated at 1.6 MW each,2.06,3.2,1.147,Georgia Power Company,"DeKalb County Sanitation, GA",,"Caterpillar, Inc.",Yes,0.1042,0.0100
1003983,457,SR247 MSW Landfill,GA,Kathleen,Houston,Public,"Houston County Board of Commissioners, GA","4,120,888",2022,Yes,0.994,0.044,522-0,Operational,Project #1,1/11/2011,Electricity,Reciprocating Engine,,"(2) Caterpillar G3520C engines fired completely on LFG, 8,500 hrs/yr",1.72,3.2,0.953,Flint Energies,PowerSecure,,"Caterpillar, Inc.; PowerSecure Inc.",No,0.0870,0.0084
1003569,444,Superior Landfill & Recycling Center,GA,Savannah,Chatham,Private,WM,"12,632,841",2022,Yes,3.177,0.121,509-0,Operational,Project #1,12/31/2009,Electricity,Reciprocating Engine,,(8) Caterpillar 3516s,5.52,6.4,3.06,Georgia Power Company,"WM Renewable Energy, LLC",,"Caterpillar, Inc.",Yes,0.2793,0.0268
1007124,461,"WI Taylor County Disposal, LLC",GA,Mauk,Taylor,Private,GFL Environmental USA Inc.,"18,300,772",2022,Yes,2.472,1.301,526-0,Shutdown,Project #1,10/1/2003,Electricity,Reciprocating Engine,,(4) Jenbacher J320 engines at 1 MW each,1.71,4,1,Green Power EMC,EDL Energy,,GE Energy - Jenbacher Gas Engines; Parker Hannifin Filtration and Separation Division,No,0.0000,0.0000
1007124,461,"WI Taylor County Disposal, LLC",GA,Mauk,Taylor,Private,GFL Environmental USA Inc.,"18,300,772",2022,Yes,2.472,1.301,526-1,Shutdown,"Project #1, Expansion #1",1/16/2012,Electricity,Reciprocating Engine,,(4) GE Jenbacher J320 engines; siloxane treatment upstream of engines due to high levels of siloxanes,3.54,4,2.45,Green Power EMC,EDL Energy,,GE Energy - Jenbacher Gas Engines; Parker Hannifin Filtration and Separation Division,No,0.0000,0.0000
1007124,461,"WI Taylor County Disposal, LLC",GA,Mauk,Taylor,Private,GFL Environmental USA Inc.,"18,300,772",2022,Yes,2.472,1.301,526-2,Operational,"Project #1, De-Expansion #1",1/1/2019,Electricity,Reciprocating Engine,,(8) GE Jenbacher J320 engines; siloxane treatment upstream of engines due to high levels of siloxanes,3.49,8,2.11,Green Power EMC,EDL Energy,,GE Energy - Jenbacher Gas Engines; Parker Hannifin Filtration and Separation Division,No,0.1766,0.0170
1003711,10404,"Wolf Creek Landfill, LLC",GA,Dry Branch,Twiggs,Private,WM,"7,727,092",2022,Yes,4.535,3.373,180882-0,Operational,Project #1,12/12/2011,Electricity,Reciprocating Engine,,(2) GE Jenbacher J420 generator sets using 430 cfm LFG per engine,2.18,,1.16,Green Power EMC,Sustainable Energy Solutions LLC,"WM Renewable Energy, LLC",GE Energy - Jenbacher Gas Engines,No,0.1103,0.0106
1001949,631,Cedar Rapids Linn County Solid Waste Landfill #2,IA,Marion,Linn,Public,Cedar Rapids-Linn County Solid Waste Agency,"4,685,977",2022,Yes,1,,701-0,Operational,Project #1,5/31/2013,Electricity,Cogeneration,,"(1) CAT G3520C engine, waste heat from engine-generator set is captured & used to heat County's new 44,000 sq ft Resource Recovery Building and also to melt snow on concrete traffic areas",1.6,1.6,,Central Iowa Power Cooperative (CIPCO),,,"Blackhawk Technology Company; Caterpillar, Inc.",Yes,0.0810,0.0078
1007673,623,Central Disposal Landfill,IA,Lake Mills,Winnebago,Private,WM,"6,693,457",2022,Yes,0.929,0.055,693-0,Operational,Project #1,3/18/2006,Electricity,Reciprocating Engine,,Originally (6) Caterpillar 3516 engines at 800 kW each; (1) engine retired in 2017,1.56,4,0.875,Dairyland Power Cooperative,"WM Renewable Energy, LLC",,"Caterpillar, Inc.",Yes,0.0789,0.0076
1002610,617,Des Moines County Regional Sanitary Landfill,IA,West Burlington,Des Moines,Public,"Des Moines County Regional Solid Waste Commission, IA","3,046,941",2022,Yes,0.144,,687-0,Operational,Project #1,5/31/2013,Direct,Leachate Evaporation,,,,,0.144,"Des Moines County Regional Solid Waste Commission, IA",,,,Unknown,0.0141,0.0012
1000473,619,Dubuque Metropolitan SLF,IA,Dubuque,Dubuque,Public,"Dubuque Metropolitan Area Solid Waste Agency, IA","4,405,905",2022,Yes,1.033,0,689-0,Operational,Project #1,10/15/2021,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,"2,000 MMBtu design; creating ~700 Mcf/day of RNG",,,0.385,American Natural Gas; Black Hills Corporation; Constellation,"Enerdyne Power Systems, Inc.",Black Hills Corporation,,No,0.0378,0.0030
1007727,624,Metro Park East Landfill,IA,Mitchellville,Polk,Public,"Metro Waste Authority, IA","22,919,749",2022,Yes,4.75,0.006,694-0,Operational,Project #1,1/1/1993,Electricity,Reciprocating Engine,,"(8) 1,150 HP, 16-cylinder Caterpillar 3516 engines",5.65,6.4,2.57,Berkshire Hathaway Energy Company,Bio Energy Partners,"WM Renewable Energy, LLC","Caterpillar, Inc.",No,0.2859,0.0274
1007727,624,Metro Park East Landfill,IA,Mitchellville,Polk,Public,"Metro Waste Authority, IA","22,919,749",2022,Yes,4.75,0.006,694-1,Operational,"Project #1, Expansion #1",5/1/2014,Electricity,Reciprocating Engine,,(3) 20-cylinder Caterpillar 3520 engines,4.24,4.8,2.18,Municipal Energy Agency of Nebraska (MEAN),"WM Renewable Energy, LLC","WM Renewable Energy, LLC","Caterpillar, Inc.",No,0.2146,0.0206
1003446,2165,Ada County Landfill,ID,Boise,Ada,Public,"Ada County, ID","16,705,122",2022,Yes,3.511,2.082,180242-0,Operational,Project #1,7/31/2006,Electricity,Reciprocating Engine,,(2) Caterpillar G-3520C gen sets rated at 1.6 MW each; LFG treated for hydrogen sulfide prior to use,2.4,3.2,1.43,Idaho Power Company,"G2 Energy, LLC",Biogas Development,"Caterpillar, Inc.",No,0.1214,0.0117
1006763,2067,Fighting Creek Farm Landfill,ID,Coeur d' Alene,Kootenai,Public,County of Kootenai,"3,977,677",2022,Yes,0.674,0.036,181103-0,Operational,Project #2,3/1/2012,Electricity,Reciprocating Engine,,(2) Caterpillar 3520C engines,1.45,3.2,0.76,Avista Utilities,Kootenai Electric Cooperative,,"Caterpillar, Inc.",No,0.0734,0.0070
1002699,1988,Fort Hall Mine Landfill,ID,Pocatello,Bannock,Public,"Bannock County, ID","3,885,307",2022,Yes,0.717,0.192,167073-0,Operational,Project #1,4/14/2014,Electricity,Reciprocating Engine,,"(1) Cat V-20, 350 cc engine originally in 2014; additional engine added in 2019",1.22,3.2,0.52,Idaho Power Company,,,"Caterpillar, Inc.",Unknown,0.0617,0.0059
1004840,2191,Milner Butte Landfill,ID,Burley,Cassia,Public,"Southern Idaho Regional Solid Waste District, ID","5,332,566",2022,Yes,0.977,0.008,180268-0,Operational,Project #1,6/27/2018,Electricity,Reciprocating Engine,,"(2) Siemens 1.3-MW ""locomotive"" SGE-56HM engines to start",2.09,2.6,0.969,Idaho Power Company,,,Industrial-Irrigation Services; Siemens,Unknown,0.1058,0.0102
1004840,2191,Milner Butte Landfill,ID,Burley,Cassia,Public,"Southern Idaho Regional Solid Waste District, ID","5,332,566",2022,Yes,0.977,0.008,180268-1,Operational,"Project #1, Expansion #1",6/30/2023,Electricity,Reciprocating Engine,,3rd engine,,1.3,,,,,,Unknown,0.0000,0.0000
1002094,500,ADS/McLean County LF #2,IL,Bloomington,McLean,Private,"Republic Services, Inc.","2,626,797",2018,Yes,0.928,0.138,565-0,Operational,Project #1,1/1/2020,Direct,Boiler,,"total production capacity of more than 800 MMBtu/day; LFG is converted to thermal energy to power boilers, reducing reliance on fossil fuels by more than 50% and helping soybean processing plant meet its Scope 1 and 2 emission goals",,,0.791,,,,,Unknown,0.0776,0.0068
1003744,521,Beecher Landfill,IL,Beecher,Will,Private,WM,"4,613,270",1996,Yes,0.43,0.223,586-0,Shutdown,Project #1,6/1/2006,Electricity,Reciprocating Engine,,(2) 1.06 MW Jenbacher engines,1.53,2.12,0.73,Commonwealth Edison Company (ComEd),Sexton Energy LLC,,GE Energy - Jenbacher Gas Engines,No,0.0000,0.0000
1003744,521,Beecher Landfill,IL,Beecher,Will,Private,WM,"4,613,270",1996,Yes,0.43,0.223,586-1,Shutdown,"Project #1, Expansion #1",10/1/2008,Electricity,Reciprocating Engine,,(1) 1.06 MW Jenbacher engine,0.77,1.06,0.36,Commonwealth Edison Company (ComEd),Sexton Energy LLC,,GE Energy - Jenbacher Gas Engines,No,0.0000,0.0000
1003744,521,Beecher Landfill,IL,Beecher,Will,Private,WM,"4,613,270",1996,Yes,0.43,0.223,586-2,Operational,"Project #1, Re-Start",10/5/2015,Electricity,Reciprocating Engine,,(3) 1.06 MW Jenbacher engines,0.56,3.18,0.207,Commonwealth Edison Company (ComEd),Will County Energy,Will County Energy,GE Energy - Jenbacher Gas Engines,No,0.0283,0.0027
1004026,1864,Brickyard Disposal & Recycling Inc.,IL,Danville,Vermilion,Private,"Republic Services, Inc.","11,702,010",2022,Yes,1.969,1.969,201466-0,Operational,Project #2,2/20/2024,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,"Capacity to convert 2,000 raw LFG into 500,000 dekatherms/year of RNG",,,,,"Ameresco, Inc.",,,No,0.0000,0.0000
,522,CDT LF,IL,Rockdale,Will,Private,CDT Landfill Corporation,"1,596,000",2000,Yes,0.5,,587-0,Operational,Project #1,1/1/1997,Electricity,Reciprocating Engine,,,1.6,,,Commonwealth Edison Company (ComEd),KMS Power Income Trust Fund,,,No,0.0810,0.0078
1008012,474,CID Recycling and Disposal Facility,IL,Chicago,Cook,Private,WM,"31,065,972",2007,Yes,1.987,0.008,539-0,Operational,Project #1,1/1/1988,Electricity,Gas Turbine,,"(3) Centaur units installed in 1988, (1) removed in 1999 and (1) removed in 2011",2.45,3.1,1.98,Commonwealth Edison Company (ComEd),Bio Energy Partners,"WM Illinois Renewable Energy, LLC",Solar Turbines Incorporated,No,0.1240,0.0119
1007467,481,Clinton Landfill Inc.,IL,Clinton,De Witt,Private,GFL Environmental USA Inc.,"9,893,262",2022,Yes,2.77,1.408,546-0,Operational,Project #1,1/1/2007,Electricity,Reciprocating Engine,,(2) Caterpillar 3520 engines with nameplate capacities of 1.6 MW each,2.56,3.2,1.36,Ameren Energy Marketing,"Greenfield Energy, LLC; Palmer Capital Corporation",Wabash Valley Power Alliance,"Caterpillar, Inc.",No,0.1295,0.0124
1006251,471,Five Oaks RDF,IL,Taylorville,Christian,Private,WM,"13,722,402",2022,Yes,1.242,0.009,536-0,Operational,Project #1,2/1/2008,Electricity,Cogeneration,,"(4) Caterpillar 3516 engines generating 1,148 horsepower each; waste heat is used to heat water that goes 650 feet to a 4-acre greenhouse",2.37,3.2,1.23,Ameren Energy Marketing; Buckley Growers Illinois,"WM Renewable Energy, LLC",,"Caterpillar, Inc.",Yes,0.1199,0.0115
1006207,483,Greene Valley RDF,IL,Naperville,DuPage,Public,"Forest Preserve District of DuPage County, IL","16,282,279",1996,Yes,3.096,0.001,548-0,Operational,Project #1,5/1/1996,Electricity,Gas Turbine,,"Originally (3) Caterpillar Solar gas turbines each rated at 3,300 kW; (1) turbine removed in 2009",3.86,9.9,3.1,Commonwealth Edison Company (ComEd),Bio Energy Partners,"WM Renewable Energy, LLC","Caterpillar, Inc.; Solar Turbines Incorporated",No,0.1953,0.0188
1003588,475,Lake LF,IL,Northbrook,Cook,Private,WM,"15,786,494",1993,Yes,1.321,0,540-0,Operational,Project #1,1/1/1988,Electricity,Gas Turbine,,Originally (3) Centaur units installed in 1987/88; (1) removed in 2008/2009,1.78,9.3,1.32,Commonwealth Edison Company (ComEd),Bio Energy Partners,"WM Illinois Renewable Energy, LLC",Blackhawk Technology Company; Solar Turbines Incorporated,No,0.0901,0.0087
1006349,2322,Land & Lakes/Willow Ranch Landfill,IL,Romeoville,Will,Private,Land and Lakes Company,"2,000,000",1992,Yes,0.385,,180419-0,Operational,Project #1,1/1/1998,Electricity,Reciprocating Engine,,"GE-Jenbacher J 320 GS-B21, 20-cylinder, 4-stroke engine",0.4,0.987,,Commonwealth Edison Company (ComEd),"Biogas Energy Solutions, LLC",,GE Energy - Jenbacher Gas Engines,No,0.0202,0.0019
1002249,497,Livingston LF,IL,Pontiac,Livingston,Private,"Republic Services, Inc.","56,491,509",2022,Yes,10.45,3.599,562-0,Shutdown,Project #1,1/1/2001,Electricity,Gas Turbine,,(3) 5.2 MW Solar Taurus turbines,15.6,15.6,,Commonwealth Edison Company (ComEd),Resource Technology Corporation,Resource Technology Corporation,Solar Turbines Incorporated,No,0.0000,0.0000
1002249,497,Livingston LF,IL,Pontiac,Livingston,Private,"Republic Services, Inc.","56,491,509",2022,Yes,10.45,3.599,562-1,Operational,"Project #1, Re-Start",10/31/2013,Electricity,Gas Turbine,,(3) re-furbished Solar Taurus 60 turbines,9.17,15,6.86,"PJM Interconnection, LLC","Hoosier Energy REC, Inc.","Hoosier Energy REC, Inc.",Solar Turbines Incorporated,Yes,0.4640,0.0445
1008269,516,Milam Recycling and Disposal Facility,IL,East St. Louis,St. Clair,Private,WM,"32,166,735",2022,Yes,5.009,0.548,200546-0,Operational,Project #2,3/1/2015,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,"Facility designed to process 3,500 cfm LFG, processed RNG is injected into pipeline for withdrawal at other locations including some WM facilities; CNG fuel; uses Air Liquide membrane with carbon polisher for CO2/siloxane and ARI PSA for N2/O2",,,4.47,Ameren Corp.,"WM Renewable Energy, LLC",,"Adsorption Research, Inc.; Air Liquide Biogas",Yes,0.4383,0.0353
1006176,2315,Prairie View RDF,IL,Wilmington,Will,Public,"Will County, IL","13,735,256",2022,Yes,5.382,3.778,200974-0,Operational,Project #2,12/2/2022,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,capacity to produce 7.7 million diesel gallon equivalents/year; 5.5 mile pipeline to transport RNG that is 96% methane,,,0.44,U.S. Venture,"Will County, IL","Will County, IL",,Yes,0.0431,0.0035
1004936,507,Rochelle Municipal #2,IL,Rochelle,Ogle,Private,"Waste Connections, Inc.","5,781,284",2022,Yes,1.381,0.08,572-0,Operational,Project #1,12/5/2011,Electricity,Reciprocating Engine,,(3) Caterpillar 3520 engines; Cameron Thiopaq biological treatment system reduces H2S from 4000 ppm to < 100 ppm & produces usable byproduct elemental sulfur which can be used locally as a component of high grade fertilizer,2.52,4.8,1.301,Rochelle Municipal Utilities,"William Charles Energy, LLC","Archaea Energy, LLC","Cameron Compression Systems; Caterpillar, Inc.; Patten Power Systems; Perennial Energy, Inc.",No,0.1275,0.0122
1002493,491,Settler's Hill Recycling & Disposal Facility,IL,Batavia,Kane,Public,Kane County Department of Environmental Management,"19,560,637",2006,Yes,2.69,0,556-0,Shutdown,Project #1,1/1/1988,Electricity,Gas Turbine,,(1) Solar Centaur,3.1,3.1,,City of Geneva Municipal Utility,Bio Energy Partners,"WM Illinois Renewable Energy, LLC",Solar Turbines Incorporated,No,0.0000,0.0000
1002493,491,Settler's Hill Recycling & Disposal Facility,IL,Batavia,Kane,Public,Kane County Department of Environmental Management,"19,560,637",2006,Yes,2.69,0,556-1,Operational,"Project #1, Expansion #1",1/1/1998,Electricity,Gas Turbine,,(2) Solar Centaurs,3.44,6.2,2.69,City of Geneva Municipal Utility,Bio Energy Partners,"WM Illinois Renewable Energy, LLC",Solar Turbines Incorporated,No,0.1741,0.0167
1007702,529,South Barrington Landfill,IL,South Barrington,Cook,Private,"Republic Services, Inc.","1,000,000",,Yes,0.912,,596-0,Operational,Project #1,1/1/1997,Electricity,Reciprocating Engine,,,1.6,,0.6,Commonwealth Edison Company (ComEd),,Fortistar Methane Group,,No,0.0810,0.0078
1006204,518,Tazewell RDF,IL,East Peoria,Tazewell,Private,WM,"6,701,428",2007,Yes,0.972,0,583-0,Operational,Project #1,1/1/1989,Electricity,Reciprocating Engine,,(2) 800-kW Caterpillar 3516s,1.33,1.6,0.71,Ameren Energy Marketing,Bio Energy Partners,"WM Illinois Renewable Energy, LLC","Caterpillar, Inc.",No,0.0673,0.0065
1006204,518,Tazewell RDF,IL,East Peoria,Tazewell,Private,WM,"6,701,428",2007,Yes,0.972,0,583-1,Operational,"Project #1, Expansion #1",1/1/1994,Electricity,Reciprocating Engine,,(1) 600-kW CAT 3512,0.5,0.6,0.265,Ameren Energy Marketing,Bio Energy Partners,"WM Illinois Renewable Energy, LLC","Caterpillar, Inc.",No,0.0253,0.0024
1006335,492,Woodland RDF,IL,South Elgin,Kane,Private,WM,"7,800,000",,Yes,2.34,,557-0,Shutdown,Project #1,1/1/1992,Electricity,Reciprocating Engine,,(2) 800-kW Caterpillar 3516s,1.42,1.6,,Commonwealth Edison Company (ComEd),Bio Energy Partners,"WM Illinois Renewable Energy, LLC","Caterpillar, Inc.",No,0.0000,0.0000
1006335,492,Woodland RDF,IL,South Elgin,Kane,Private,WM,"7,800,000",,Yes,2.34,,557-1,Operational,"Project #1, Expansion #1",4/28/2010,Electricity,Reciprocating Engine,,(2) 1600-kW Caterpillar 3520s,2.25,3.2,1.15,Commonwealth Edison Company (ComEd),"WM Illinois Renewable Energy, LLC","WM Illinois Renewable Energy, LLC","Caterpillar, Inc.",Yes,0.1139,0.0109
1001639,532,Blackfoot Landfill,IN,Winslow,Pike,Private,WM,"12,527,937",2022,Yes,0.832,0.336,599-0,Operational,Project #1,1/1/2009,Electricity,Reciprocating Engine,,(2) Caterpillar G3520s,1.12,3.2,0.5,CenterPoint Energy,"Energy Systems Group, LLC",CenterPoint Energy,"Caterpillar, Inc.",No,0.0567,0.0054
1007024,536,County Line LF,IN,Argos,Fulton,Private,"Republic Services, Inc.","17,861,844",2022,Yes,4.594,1.437,603-0,Operational,Project #1,12/10/2014,Electricity,Reciprocating Engine,,"(3) Caterpillar G3520C engines w/ gearbox so 1,966 kW each, 1500 rpm",4.75,5.898,2.379,Northern Indiana Public Service Company (NIPSCO); Wabash Valley Power Alliance,"Aria Energy, LLC; Republic Services, Inc.","Archaea Energy, LLC; Zimmerman Energy, LLC","Caterpillar, Inc.; Fluid Components International (FCI)",Unknown,0.2404,0.0231
1007024,536,County Line LF,IN,Argos,Fulton,Private,"Republic Services, Inc.","17,861,844",2022,Yes,4.594,1.437,603-1,Operational,"Project #1, Expansion #1",12/8/2020,Electricity,Reciprocating Engine,,"Caterpillar G3520C engine-generator set rated for 1600 KW, 1200 rpm",1.29,1.6,0.645,Wabash Valley Power Alliance,"Aria Energy, LLC","Archaea Energy, LLC","Caterpillar, Inc.",No,0.0653,0.0063
1004600,550,Deercroft RDF,IN,Michigan City,LaPorte,Private,WM,"10,602,806",2002,Yes,0.988,0.014,617-0,Shutdown,Project #1,1/1/1997,Electricity,Reciprocating Engine,,(4) Caterpillar 3516 engines @ ~280 cfm each,2.93,3.2,1.51,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.0000,0.0000
1004600,550,Deercroft RDF,IN,Michigan City,LaPorte,Private,WM,"10,602,806",2002,Yes,0.988,0.014,617-1,Shutdown,"Project #1, Expansion #1",9/28/2007,Electricity,Reciprocating Engine,,(4) Caterpillar 3516 engines @ ~280 cfm each,1.67,3.2,0.88,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.0000,0.0000
1004600,550,Deercroft RDF,IN,Michigan City,LaPorte,Private,WM,"10,602,806",2002,Yes,0.988,0.014,617-2,Operational,"Project #1, De-Expansion #1",1/1/2017,Electricity,Reciprocating Engine,,"(5) Caterpillar 3516 engines @ ~280 cfm each; (5) of the (8) engines are still fired on LFG, the other (3) converted to natural gas",1.94,4,0.871,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.0982,0.0094
1007588,540,Earthmovers LF,IN,Elkhart,Elkhart,Private,WM,"10,415,382",2022,Yes,2.514,0.312,181039-0,Operational,Project #2,10/26/2010,Electricity,Reciprocating Engine,,(6) Caterpillar 3516 engines,2.72,4.8,1.222,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.1376,0.0132
1007332,542,Elkhart County Landfill,IN,Elkhart,Elkhart,Public,"Elkhart County, IN","9,116,447",2022,Yes,0.927,0.791,609-0,Operational,Project #1,6/1/2007,Direct,Boiler,,compressed LFG co-fired with NG in (2) 700-hp steam boilers at county jail 1 mile away for heating and production of hot water for the kitchen and laundry facilities,,,0.135,Elkhart County Correctional Complex,"City of Elkhart, IN",,,Yes,0.0132,0.0012
1007671,547,Jay County LF,IN,Portland,Jay,Private,WM,"6,187,028",2022,Yes,1.3,0.01,614-0,Operational,Project #1,4/5/2005,Electricity,Reciprocating Engine,,(4) Caterpillar 3516 engines @ ~280 cfm each,1.9,3.2,0.852,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.0961,0.0092
1003626,1943,Laubscher Meadows LF,IN,Evansville,Vanderburgh,Private,"Republic Services, Inc.","17,075,714",2022,Yes,1.711,0.42,180863-0,Operational,Project #2,5/29/2009,Direct,Boiler,,"5-mile pipeline to 3 boilers at industrial facility for production of nutritional infant products, LFG will almost completely replace facility's use of NG",,,1.54,Mead Johnson Nutritionals/Bristol-Myers Squibb,"Ameresco, Inc.",,,No,0.1510,0.0133
1007812,1938,Liberty Landfill,IN,Monticello,White,Private,WM,"25,699,489",2022,Yes,5.825,0.414,180757-0,Operational,Project #2,8/1/2005,Electricity,Reciprocating Engine,,(4) Caterpillar 3516 engines @ ~280 cfm each,2.3,3.2,1.211,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.1164,0.0112
1007812,1938,Liberty Landfill,IN,Monticello,White,Private,WM,"25,699,489",2022,Yes,5.825,0.414,180757-1,Operational,"Project #2, Expansion #1",1/22/2010,Electricity,Reciprocating Engine,,(4) Caterpillar 3516 engines @ ~280 cfm each,2.88,3.2,1.515,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.1457,0.0140
1007812,1938,Liberty Landfill,IN,Monticello,White,Private,WM,"25,699,489",2022,Yes,5.825,0.414,180757-2,Operational,"Project #2, Expansion #2",1/1/2017,Electricity,Reciprocating Engine,,"(4) 1.6-MW, lean-burn engine-generator sets installed, each with heat input capacity of 18.20 MMBtu/hr - all 4 engines running",5.12,6.4,2.69,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.2591,0.0249
1007812,1938,Liberty Landfill,IN,Monticello,White,Private,WM,"25,699,489",2022,Yes,5.825,0.414,201548-0,Operational,Project #3,10/3/2023,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,RNG to be piped 12 miles to NG line; capacity to generate 1.5 billion cf of RNG per year,,,,,Kinetrex Energy,,,Unknown,0.0000,0.0000
1003240,562,Medora SLF,IN,Medora,Jackson,Private,"Rumpke of Indiana, LLC","7,552,746",2022,Yes,1.618,1.618,631-0,Operational,Project #1,11/1/2023,Renewable Natural Gas,Other,Pipeline Injection,"Design: 3,200 scfm LFG input, 1,800 MMBtu/day RNG output; modular RNG plant design (built on skids with interchangeable components)",,,,,"Archaea Energy, LLC","Archaea Energy, LLC",Gulf Coast Environmental Systems,No,0.0000,0.0000
1004021,553,Munster LF,IN,Munster,Lake,Public,"Town of Munster, IN","2,040,688",2004,Yes,0.706,,181090-0,Operational,Project #2,12/16/2012,Electricity,Reciprocating Engine,,GE-Jenbacher engine,0.43,,0.35,Northern Indiana Public Service Company (NIPSCO),"Energy Systems Group, LLC",,GE Energy - Jenbacher Gas Engines,No,0.0218,0.0021
1007520,554,National Serv-All LF,IN,Fort Wayne,Allen,Private,"Republic Services, Inc.","23,268,406",2022,Yes,5.244,3.332,180202-0,Operational,Project #3,5/1/2002,Direct,Boiler,,"LFG is piped 8 or 9 miles for use in 1 of 3 powerhouse boilers that was converted from using NG or fuel oil; boiler produces steam to heat assembly plant and process equipment, and to drive turbines to produce chilled water and to pump water",,,2.52,General Motors Company,"Toro Energy, Inc.","Toro Energy, Inc.",,No,0.2471,0.0218
1007520,554,National Serv-All LF,IN,Fort Wayne,Allen,Private,"Republic Services, Inc.","23,268,406",2022,Yes,5.244,3.332,200548-0,Operational,Project #4,5/29/2014,Electricity,Reciprocating Engine,,"9-mile, 12-inch diameter pipeline delivers LFG to (4) CAT 3520 engines, provides 28% of plant's electricity",6.4,6.4,,General Motors Company,,,"Caterpillar, Inc.",Unknown,0.3239,0.0311
1003691,2421,Newton County Landfill,IN,Brook,Newton,Private,"Republic Services, Inc.","58,604,391",2022,Yes,8.668,7.185,180789-0,Operational,Project #1,1/1/2010,Direct,Direct Thermal,,"1,800-ft pipeline takes LFG for use in 4 direct-fire gas burners (4 processing lines with 1 burner each) to dry 800,000 egg cartons/day made from 100% recycled paper; 118,000 sq ft plant located specifically in renewable energy park to use only LFG",,,1.49,Urban Forest Recyclers,"Republic Services, Inc.",,Fluid Components International (FCI),Yes,0.1461,0.0129
1007581,556,Oak Ridge RDF,IN,Logansport,Cass,Private,WM,"8,909,761",2022,Yes,1.545,0.002,625-0,Operational,Project #1,12/1/2003,Electricity,Reciprocating Engine,,4 Caterpillar 3516 engines @ ~280 cfm each,2.75,3.2,1.54,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.1392,0.0134
